id_hogar,ingreso_mensual_hogar,estrato_socioeconomico,recibe_subsidio,numero_integrantes_hogar,numero_menores_hogar,adulto_mayor_hogar,persona_con_discapacidad_hogar,acceso_internet_estable,acceso_servicios_basicos_completo,riesgo_habitacional,tiempo_desplazamiento_cabecera_min,distancia_centro_salud_min,inasistencia_escolar_hogar,nivel_educativo_jefe_hogar,barrio
H00338,1385039,2,0,2,0,0,0,1,1,1,17,3,0,4,El Porvenir
H00339,2196683,3,0,6,4,0,0,1,0,1,5,25,1,2,San Luis
H00340,1444569,1,0,7,2,0,0,1,0,3,10,26,0,2,San Jorge
H00341,1245390,2,1,3,1,0,0,0,1,3,51,34,0,2,Villa Sofía
H00342,480099,1,1,5,4,0,0,1,1,5,108,74,0,1,El Bosque
H00343,1599806,2,0,2,1,0,0,1,1,5,79,13,1,1,El Bosque
H00344,398482,1,0,3,1,1,0,1,1,4,24,27,0,1,La Victoria
H00345,2395453,3,0,4,2,0,0,1,1,1,25,26,0,3,La Victoria
H00346,2602681,4,0,1,1,0,0,1,1,2,41,15,0,3,El Carmen
H00347,3148951,3,1,4,1,0,0,1,0,1,46,20,0,5,Bellavista
H00348,1972212,3,0,4,3,1,0,1,1,2,7,28,0,3,Los Pinos
H00349,1388487,2,1,4,3,0,0,0,1,3,49,18,1,3,Bellavista
H00350,665975,2,1,5,3,0,0,1,1,5,38,9,0,2,Villa Sofía
H00351,1348848,3,0,3,2,0,0,1,0,4,44,14,0,3,Santa Ana
H00352,1485405,3,0,5,3,0,0,0,0,3,26,29,1,2,Altos del Sol
H00353,1423574,2,1,3,2,0,0,0,1,4,55,28,0,3,Villa Sofía
H00354,505368,1,1,6,5,0,0,0,0,4,135,70,1,2,Buenos Aires
H00355,1322132,3,0,4,1,0,0,1,1,2,25,15,1,4,Santa Ana
H00356,1909002,3,1,3,1,1,0,0,1,3,27,3,0,2,San Jorge
H00357,1198572,2,1,4,3,0,0,0,1,4,34,38,0,2,Buenos Aires
H00358,2098265,3,0,4,3,0,0,1,1,1,46,15,1,4,El Carmen
H00359,2004812,2,0,3,1,0,0,1,1,3,25,19,0,3,Las Flores
H00360,2290118,2,0,4,2,1,0,0,1,2,42,19,0,4,La Esperanza
H00361,2080690,1,0,4,3,1,0,0,0,3,58,68,0,1,La Primavera
H00362,1393074,2,1,3,2,0,1,1,1,3,33,3,0,3,La Primavera
H00363,770486,2,1,4,3,0,1,0,0,4,45,66,0,2,La Victoria
H00364,1705880,1,1,5,4,0,0,1,1,2,25,17,1,2,Los Pinos
H00365,1898481,3,0,5,2,0,0,0,0,2,33,52,0,2,Manablanca
H00366,1704382,3,1,7,1,0,0,1,0,2,23,25,0,1,Nueva Colombia
H00367,3111641,3,0,5,2,0,0,1,1,3,17,16,1,4,El Progreso
H00368,1404186,2,1,6,2,1,0,0,1,4,56,12,0,2,Nueva Colombia
H00369,1756126,3,1,7,2,0,0,0,1,2,58,9,0,3,San Luis
H00370,2190928,3,1,4,1,0,1,1,1,2,16,21,0,4,Villa Diana
H00371,2515697,2,1,1,0,0,0,0,0,2,16,19,0,3,La Primavera
H00372,1191505,3,0,2,1,0,1,1,1,5,21,17,1,3,La Aurora
H00373,2415919,3,1,5,2,1,0,1,1,4,42,35,0,3,Centro
H00374,1582571,3,0,2,3,0,0,0,1,4,31,64,0,2,Manablanca
H00375,1360814,2,1,5,2,0,0,1,1,5,45,20,1,2,La Primavera
H00376,1212621,3,0,5,3,0,0,0,0,2,44,49,1,3,Villa Diana
H00377,2857654,4,1,2,3,0,0,0,1,2,31,32,0,4,Villa Diana
H00378,1139369,2,1,4,1,0,0,0,1,4,89,82,0,1,Altos del Sol
H00379,1252540,2,0,4,1,1,0,1,1,4,60,49,0,2,Villa Sofía
H00380,1254311,2,1,5,0,0,0,0,1,5,45,44,1,1,El Carmen
H00381,1433887,2,1,6,3,1,0,1,1,3,41,35,0,2,El Carmen
H00382,2399889,2,1,7,3,0,1,1,1,3,62,12,0,2,El Carmen
H00383,1855767,2,0,4,0,0,0,0,0,3,24,18,0,3,Santa Ana
H00384,1382627,1,0,5,2,0,0,1,1,4,26,26,0,3,Manablanca
H00385,1957036,2,1,4,2,1,0,1,1,2,49,17,0,1,La Victoria
H00386,1394487,2,1,2,1,0,0,1,0,3,22,17,1,2,San Jorge
H00387,3180815,3,0,2,2,0,0,1,1,1,15,15,0,4,Buenos Aires
H00388,2080214,2,1,5,4,0,0,0,1,2,26,17,0,1,Las Acacias
H00389,1702359,2,0,4,2,0,0,1,1,3,8,29,0,3,Santa Ana
H00390,1248831,2,1,8,2,0,0,1,0,4,43,52,0,2,La Aurora
H00391,1267807,3,1,5,0,0,0,1,1,5,59,40,1,1,La Primavera
H00392,983644,3,0,5,3,1,0,1,1,2,49,20,1,2,Villa Diana
H00393,2197771,2,1,4,1,0,0,0,1,4,69,60,0,2,La Aurora
H00394,1040744,1,1,5,3,1,1,0,1,5,44,24,0,4,La Primavera
H00395,2195486,3,0,3,1,0,0,1,1,2,28,23,0,4,Las Acacias
H00396,2773171,3,1,5,2,0,0,1,1,1,22,16,0,3,Villa Diana
H00397,1585046,2,0,6,2,1,0,1,0,4,30,32,0,2,El Porvenir
H00398,1248863,2,1,4,2,0,0,0,0,3,79,57,0,4,El Carmen
H00399,947899,2,0,8,3,0,0,0,1,4,55,43,1,2,La Victoria
H00400,2086111,1,0,4,2,0,0,1,1,5,67,27,0,2,San Luis
H00401,255369,1,1,7,1,0,0,0,1,5,108,53,0,2,El Carmen
H00402,3177445,3,1,3,2,0,0,0,1,2,13,14,0,5,Las Acacias
H00403,763494,2,1,6,0,0,0,0,0,3,99,75,1,2,San Luis
H00404,407305,2,1,5,1,1,0,0,0,3,77,83,1,1,San Jorge
H00405,1418032,1,0,3,3,1,0,0,1,2,16,39,1,2,El Carmen
H00406,3248208,3,0,4,2,1,0,1,1,3,48,21,0,5,Villa Diana
H00407,1640211,2,1,7,2,0,0,1,1,3,19,16,0,2,El Progreso
H00408,2728196,2,1,3,2,0,0,1,1,2,8,28,0,5,La Esperanza
H00409,1444586,2,0,5,2,0,0,0,0,3,59,52,0,2,La Primavera
H00410,2111035,4,0,4,2,0,0,1,1,2,32,11,0,4,La Victoria
H00411,504701,1,0,8,2,0,0,1,0,5,69,46,0,1,Villa Sofía
H00412,3048723,3,1,3,1,0,0,1,1,2,13,24,0,4,La Primavera
H00413,1931011,2,0,5,3,0,0,0,0,4,45,41,0,2,La Victoria
H00414,1219260,2,0,5,1,0,0,0,0,4,55,48,0,2,San Carlos
H00415,1012358,1,1,2,1,0,0,0,1,2,61,72,0,2,El Carmen
H00416,2207777,3,0,5,2,0,0,1,1,1,31,19,0,3,El Progreso
H00417,1410941,2,0,4,1,0,0,1,1,4,68,26,0,1,Nueva Colombia
H00418,1617517,3,1,5,1,0,0,1,1,3,5,18,0,3,Manablanca
H00419,2150899,3,0,5,1,0,0,1,1,2,39,8,0,3,El Progreso
H00420,1352724,2,1,6,3,0,0,1,1,3,40,54,1,1,Las Acacias
H00421,1860708,2,1,8,3,0,0,1,1,1,29,20,1,2,Altos del Sol
H00422,895945,1,1,6,3,0,0,1,1,4,8,51,1,4,La Primavera
H00423,2559938,2,1,2,1,0,0,1,1,1,8,17,0,4,Buenos Aires
H00424,976687,2,0,2,2,0,0,0,1,4,83,28,0,4,La Aurora
H00425,1899155,3,1,5,1,1,0,1,1,4,58,49,0,1,Manablanca
H00426,844089,2,0,7,1,0,1,1,1,3,31,21,0,3,El Carmen
H00427,1221731,1,1,4,2,0,0,1,0,3,18,59,0,2,El Carmen
H00428,1819175,1,1,10,4,0,0,1,1,4,24,23,0,2,La Esperanza
H00429,1456253,2,1,4,1,0,0,0,0,2,69,39,0,2,El Bosque
H00430,3342548,3,0,2,1,0,0,0,1,2,3,12,0,3,Villa Diana
H00431,2057183,3,1,1,1,0,0,1,1,3,71,39,0,1,Nueva Colombia
H00432,1730441,3,0,6,1,0,0,0,1,3,50,47,0,2,El Bosque
H00433,1539714,2,0,6,4,0,0,1,1,3,48,17,1,1,El Bosque
H00434,1300992,2,0,2,0,0,0,0,1,4,46,35,0,2,La Primavera
H00435,1645608,2,1,5,3,0,0,0,1,3,65,17,0,2,Villa Sofía
H00436,833660,2,1,3,2,0,0,0,1,3,19,33,0,3,La Aurora
H00437,1019047,1,1,4,0,1,0,1,0,5,39,49,0,1,Santa Ana
H00438,2174858,1,0,6,4,0,0,0,1,3,62,24,1,2,Manablanca
H00439,1646732,3,0,3,0,0,0,1,1,2,9,16,0,3,Centro
H00440,1461710,2,0,2,1,0,0,1,0,4,43,28,0,2,La Esperanza
H00441,2495729,3,1,2,1,0,0,1,1,2,12,30,0,3,Santa Ana
H00442,725315,1,0,9,2,1,0,1,1,4,69,28,0,2,Altos del Sol
H00443,1260539,2,0,3,4,0,0,1,1,2,46,25,0,3,Las Acacias
H00444,3817268,3,1,3,3,0,0,1,1,2,40,20,0,3,Buenos Aires
H00445,1163585,3,0,4,3,1,0,0,1,2,48,27,0,2,La Aurora
H00446,694056,2,0,4,4,1,0,1,1,3,27,5,0,3,San Luis
H00447,2973118,2,0,5,1,0,0,1,1,3,51,4,0,4,Santa Ana
H00448,1471716,3,1,5,2,1,0,1,1,3,58,33,0,2,La Unión
H00449,1653386,3,1,5,1,0,0,1,1,5,40,25,0,3,Santa Ana
H00450,1236410,2,1,6,3,0,1,1,0,5,140,62,1,1,Altos del Sol
H00451,1589100,2,1,3,2,0,0,1,1,3,88,31,0,3,La Victoria
H00452,899945,2,1,3,4,0,0,0,1,4,128,53,1,2,La Victoria
H00453,2393829,3,0,5,1,0,0,0,1,2,23,18,0,2,Centro
H00454,1275144,1,0,6,1,0,0,0,1,3,44,39,0,2,La Victoria
H00455,863201,1,1,5,3,0,0,0,0,5,63,18,0,3,El Bosque
H00456,2089196,3,1,3,0,0,0,0,1,4,35,3,0,4,El Progreso
H00457,3104412,3,1,3,1,1,0,1,1,2,24,9,0,4,San Jorge
H00458,1187016,1,0,5,2,0,0,1,0,4,59,56,0,2,Manablanca
H00459,2411993,2,0,4,3,0,0,0,1,3,89,59,0,3,San Luis
H00460,1010915,1,1,4,2,0,1,0,0,4,79,100,1,1,San Jorge
H00461,1211398,2,1,4,2,0,0,1,1,2,25,31,0,2,El Progreso
H00462,2127674,3,1,4,2,0,0,1,0,1,27,9,0,3,Santa Ana
H00463,1717547,2,1,6,2,0,0,1,1,1,5,28,0,1,La Unión
H00464,647299,2,1,7,3,1,0,0,0,5,65,69,1,2,Altos del Sol
H00465,1928232,2,1,5,0,0,0,1,1,2,87,57,0,1,San Jorge
H00466,2897972,3,1,3,0,0,0,0,1,1,3,4,0,4,Las Acacias
H00467,1517793,2,1,4,5,0,1,1,1,5,37,20,0,2,El Bosque
H00468,1422137,1,0,3,3,0,0,1,1,3,63,95,0,1,El Bosque
H00469,1700832,2,1,5,3,1,0,1,1,4,21,38,0,4,El Bosque
H00470,1683240,2,0,1,4,0,1,1,0,4,67,41,1,1,El Carmen
H00471,2153029,2,0,3,3,1,0,1,1,3,37,32,1,3,Nueva Colombia
H00472,3201621,3,0,4,1,0,0,1,1,2,27,30,0,5,La Primavera
H00473,951453,2,1,3,0,0,0,1,0,2,74,18,0,4,San Luis
H00474,2276818,3,0,5,2,1,0,0,0,3,53,8,0,1,El Carmen
H00475,1322535,1,1,5,3,0,0,1,0,4,44,55,1,3,Villa Diana
H00476,2541643,3,0,3,0,1,0,1,1,2,39,10,0,4,La Victoria
H00477,2779280,2,1,6,4,1,0,0,1,1,26,24,0,2,La Esperanza
H00478,1601128,1,0,4,1,1,0,0,1,3,73,29,0,4,Nueva Colombia
H00479,2095311,2,1,4,0,0,0,1,1,1,25,10,0,5,La Victoria
H00480,824068,3,0,5,3,0,0,1,0,1,59,35,0,3,El Bosque
H00481,1563392,2,0,4,1,0,0,0,0,1,74,50,0,1,La Victoria
H00482,1442270,3,0,9,2,0,0,1,1,1,58,16,0,3,La Aurora
H00483,2232403,3,1,7,3,0,0,1,1,3,43,43,1,2,Manablanca
H00484,2113298,2,0,5,3,0,1,1,1,3,28,43,0,4,El Carmen
H00485,1630909,2,0,5,2,1,0,1,1,2,5,31,0,1,El Bosque
H00486,1906177,2,0,4,1,0,0,1,1,2,13,8,0,3,Los Pinos
H00487,1746546,2,0,3,1,0,0,1,1,2,38,28,0,4,El Bosque
H00488,1491912,1,0,4,1,0,0,0,1,3,47,6,0,2,El Progreso
H00489,4137490,4,0,4,0,0,0,0,1,3,46,35,0,4,Santa Ana
H00490,1690642,3,1,6,4,0,0,0,1,2,61,15,0,2,San Luis
H00491,300000,2,1,3,2,0,0,0,1,4,67,8,0,2,Altos del Sol
H00492,2014462,2,1,5,1,0,0,1,1,3,25,31,0,2,Bellavista
H00493,2432441,2,1,5,3,1,0,1,1,3,13,10,0,3,La Aurora
H00494,820907,2,0,5,3,0,0,1,1,2,15,17,0,2,La Aurora
H00495,3367513,2,1,2,1,0,0,1,1,2,30,31,0,4,La Primavera
H00496,2172408,1,0,3,3,1,0,1,1,4,69,55,0,3,Santa Ana
H00497,1273845,2,0,5,1,1,1,1,1,5,33,8,0,4,Buenos Aires
H00498,1714167,2,1,7,2,1,0,1,0,3,17,18,0,4,Villa Sofía
H00499,2033147,2,1,6,2,0,0,1,1,4,12,28,0,3,Centro
H00500,1601848,1,1,4,1,0,0,0,1,4,50,17,0,2,Las Flores
H00501,2531348,4,0,5,4,0,0,1,1,2,4,19,0,4,Los Pinos
H00502,634122,1,1,7,1,0,0,0,1,5,80,68,0,3,Buenos Aires
H00503,956063,2,1,6,0,0,0,1,1,3,38,38,0,1,El Bosque
H00504,2914357,2,0,3,3,0,1,1,1,1,29,29,0,3,La Victoria
H00505,2972531,4,0,2,1,1,0,1,1,2,16,20,0,3,San Luis
H00506,2582625,2,1,2,3,0,0,0,0,1,32,30,0,4,El Carmen
H00507,1589395,3,0,3,2,1,0,1,1,2,55,72,0,2,Altos del Sol
H00508,1836385,2,0,6,3,0,1,1,1,4,20,22,0,3,San Jorge
H00509,1758550,2,0,7,4,1,0,0,1,3,25,4,1,2,Buenos Aires
H00510,2857962,3,0,3,2,1,0,1,1,2,30,17,0,4,San Luis
H00511,918291,1,1,5,0,0,0,1,1,2,52,4,0,2,Altos del Sol
H00512,1930850,1,1,5,0,0,0,0,0,5,39,20,1,2,La Victoria
H00513,1574975,2,1,4,2,0,0,1,1,3,47,41,0,2,La Aurora
H00514,1290512,2,1,4,1,0,0,1,1,3,54,14,0,2,Villa Diana
H00515,1387320,2,1,8,4,0,0,1,1,3,24,20,0,2,Villa Sofía
H00516,737341,1,0,7,2,0,0,0,1,2,71,23,0,3,Bellavista
H00517,1358591,3,0,5,3,1,0,1,1,1,22,29,1,1,La Esperanza
H00518,1966143,3,0,4,3,1,1,1,1,4,58,15,0,2,Bellavista
H00519,1781613,2,0,6,3,1,0,1,1,3,83,17,0,2,Los Pinos
H00520,1393595,2,1,5,1,0,0,1,1,2,39,5,0,2,El Carmen
H00521,2703994,2,0,4,1,0,0,1,1,2,23,24,0,4,San Luis
H00522,1772969,1,1,3,1,1,0,1,1,3,28,14,0,3,El Bosque
H00523,2890348,4,1,3,4,0,0,1,1,2,22,7,1,2,La Unión
H00524,2414680,2,0,1,2,0,0,1,1,2,34,24,0,4,Los Pinos
H00525,3289981,4,0,5,2,0,0,1,1,2,42,22,0,3,San Luis
H00526,912369,2,1,2,2,0,0,1,0,4,26,20,0,3,La Primavera
H00527,1077017,1,1,6,3,0,0,0,1,5,63,13,1,2,Las Acacias
H00528,1275857,1,0,2,1,0,0,1,1,3,26,31,0,2,Nueva Colombia
H00529,1421131,2,1,6,0,1,0,1,0,4,17,16,1,1,La Primavera
H00530,2012726,2,0,5,0,1,1,0,1,2,27,21,0,3,Buenos Aires
H00531,1582447,2,1,6,3,0,0,1,1,4,31,31,0,2,Las Flores
H00532,768350,1,1,8,4,1,0,1,1,4,132,31,0,2,Manablanca
H00533,343099,1,1,6,1,1,0,0,1,3,29,37,1,2,San Jorge
H00534,2248290,2,0,5,4,0,0,1,1,2,47,9,0,2,La Aurora
H00535,1387195,3,0,5,1,1,0,1,1,1,66,88,0,3,Altos del Sol
H00536,980762,1,1,4,2,0,0,1,1,4,115,48,1,2,El Bosque
H00537,150000,1,0,2,0,0,0,1,1,2,29,19,0,1,San Jorge
H00538,1236221,2,1,7,2,0,0,0,0,4,61,6,0,3,Centro
H00539,1943622,2,1,7,4,0,0,1,0,4,52,21,1,4,San Jorge
H00540,1360282,2,0,5,2,0,0,0,0,4,55,54,0,1,La Victoria
H00541,1553731,2,1,3,4,0,0,0,1,1,43,25,0,1,Villa Sofía
H00542,1902513,2,0,3,3,0,0,1,1,3,104,10,0,2,Manablanca
H00543,2283713,2,1,3,0,1,0,1,1,2,10,18,0,3,San Carlos
H00544,2171853,3,1,4,0,1,0,1,1,2,20,10,1,5,Santa Ana
H00545,674617,2,1,6,1,0,0,0,0,4,47,10,1,2,La Esperanza
H00546,1772705,2,1,1,1,1,0,0,1,4,30,73,0,2,El Carmen
H00547,1995550,2,0,5,2,0,0,0,1,3,6,24,0,3,Santa Ana
H00548,1179979,3,1,6,4,0,0,0,1,5,24,43,0,3,Manablanca
H00549,827348,1,1,4,3,0,0,0,1,3,36,18,0,2,El Bosque
H00550,695931,1,1,6,2,0,1,1,1,2,20,26,0,4,Las Flores
H00551,3619513,3,0,5,0,0,0,1,1,1,28,41,0,2,La Primavera
H00552,1087084,1,0,7,3,0,0,1,1,3,51,37,0,3,La Victoria
H00553,1100252,1,1,4,1,0,0,0,0,5,50,27,0,2,El Carmen
H00554,845311,2,1,6,2,0,0,0,1,5,66,104,1,1,La Aurora
H00555,757091,1,0,4,2,1,0,1,1,3,49,37,0,2,La Esperanza
H00556,1802063,3,0,4,0,0,0,1,1,3,33,38,0,3,El Porvenir
H00557,1541547,2,1,8,1,1,0,1,1,2,27,24,0,2,Manablanca
H00558,990619,2,1,7,4,0,0,0,0,5,64,75,1,3,Las Acacias
H00559,1073735,1,1,3,2,0,0,0,1,5,46,36,1,1,Altos del Sol
H00560,2215507,2,1,6,1,1,0,1,0,3,50,22,0,2,La Victoria
H00561,1402836,2,0,5,2,0,0,0,1,3,18,81,1,2,San Jorge
H00562,1153278,2,1,4,3,1,0,1,1,3,38,36,1,4,Las Flores
H00563,1761741,3,0,3,4,0,0,1,1,2,26,17,1,4,Centro
H00564,1403060,2,0,3,2,1,0,0,1,3,111,93,0,1,San Luis
H00565,1659201,1,0,3,2,1,0,1,1,4,53,26,0,4,Las Flores
H00566,1787693,2,0,4,3,0,0,0,1,4,13,16,0,3,San Carlos
H00567,1469872,2,1,5,3,0,0,0,0,4,37,35,1,4,Bellavista
H00568,1710369,2,1,6,0,0,0,1,1,4,36,50,0,3,Buenos Aires
H00569,2315718,2,0,4,1,1,0,1,0,1,40,26,0,4,El Progreso
H00570,2278654,2,0,1,1,1,0,1,1,1,8,12,0,4,Las Flores
H00571,904948,1,1,3,2,0,0,1,0,3,44,37,0,2,Buenos Aires
H00572,1064857,1,1,4,3,0,0,0,1,1,35,28,1,1,Altos del Sol
H00573,2802398,2,0,4,2,0,0,1,1,2,39,32,0,3,El Porvenir
H00574,771284,1,1,5,4,0,1,0,1,5,78,55,1,2,Villa Sofía
H00575,838405,1,1,3,0,0,0,0,0,3,36,26,0,3,San Luis
H00576,1208250,1,1,1,2,1,0,1,1,2,63,32,0,2,La Aurora
H00577,912788,1,1,2,3,0,0,1,1,2,52,29,1,1,La Aurora
H00578,2205890,2,1,3,2,0,0,1,1,2,40,10,0,2,Las Acacias
H00579,1732538,1,0,4,3,0,0,0,1,4,68,52,0,1,Las Acacias
H00580,1757855,3,0,8,4,1,0,0,1,2,38,23,0,2,El Porvenir
H00581,1399972,1,0,5,2,1,0,1,0,3,74,77,0,2,El Carmen
H00582,1475529,2,1,4,3,0,0,1,1,3,22,50,0,2,Villa Sofía
H00583,2506453,2,1,7,3,0,0,0,1,4,37,5,0,2,Las Flores
H00584,3296943,2,1,3,2,0,0,1,1,3,39,30,0,4,San Jorge
H00585,1320445,3,0,4,2,1,0,1,1,4,37,29,1,2,Manablanca
H00586,2458773,3,0,5,1,1,0,1,1,2,20,16,0,3,San Luis
H00587,1120532,1,1,5,3,0,0,1,1,5,69,31,1,2,El Bosque
H00588,868207,1,1,5,2,0,0,1,0,5,32,44,0,2,La Aurora
H00589,2240169,2,0,3,2,0,0,1,1,1,6,23,0,4,El Carmen
H00590,2646492,3,0,3,2,0,0,1,1,2,31,8,0,2,Santa Ana
H00591,1176947,2,0,3,2,0,0,1,1,2,34,30,0,2,El Bosque
H00592,2393136,2,0,2,2,0,0,1,1,1,27,18,0,4,Las Acacias
H00593,859679,2,0,5,2,0,1,0,0,4,118,51,1,2,La Victoria
H00594,3084727,4,0,4,1,1,0,1,1,1,48,8,0,3,Santa Ana
H00595,1123532,1,1,5,2,0,0,1,1,4,38,48,1,3,La Victoria
H00596,1226786,2,1,3,1,0,0,1,1,3,77,55,0,2,San Jorge
H00597,1266725,2,0,5,2,1,0,1,1,3,14,26,0,3,Manablanca
H00598,3264117,2,1,2,1,0,0,1,1,2,3,3,0,5,El Progreso
H00599,3139220,3,0,3,2,0,0,0,1,2,20,16,1,5,El Porvenir
H00600,1824626,3,1,4,2,0,0,0,0,1,19,17,0,1,Villa Sofía
H00601,1140842,2,0,8,1,0,0,1,1,2,72,30,0,2,Santa Ana
H00602,1467102,3,1,6,2,0,0,1,1,5,37,44,0,1,La Primavera
H00603,1102694,3,1,6,2,0,0,1,1,5,60,49,0,2,Centro
H00604,1417677,1,0,4,1,0,0,1,1,4,51,45,0,3,San Jorge
H00605,2327643,2,0,1,2,0,0,1,1,2,25,26,0,3,El Progreso
H00606,804139,2,0,2,4,0,0,1,1,3,49,37,1,4,Los Pinos
H00607,2148600,3,0,4,0,0,0,1,1,2,36,15,1,3,Centro
H00608,2573208,3,0,4,1,0,0,1,1,1,47,14,0,4,Las Acacias
H00609,1917522,2,0,4,2,1,0,1,1,1,15,4,0,4,La Unión
H00610,647581,1,1,4,3,1,0,0,0,5,76,48,0,3,Villa Diana
H00611,1419597,2,1,3,3,1,0,0,1,4,110,37,0,4,El Bosque
H00612,1256007,1,1,6,4,0,0,1,1,4,31,11,0,4,Las Acacias
H00613,1727038,2,1,5,3,0,0,0,1,3,33,32,1,2,El Bosque
H00614,1019424,1,1,3,0,0,1,0,0,3,18,37,0,2,San Luis
H00615,1970538,3,0,6,2,0,0,1,0,4,26,26,0,4,Nueva Colombia
H00616,794374,2,0,4,2,0,1,1,0,4,26,56,1,3,La Esperanza
H00617,1991896,2,0,7,2,0,0,0,1,4,30,38,1,2,El Bosque
H00618,1090925,1,1,5,4,0,0,0,1,4,16,29,0,1,Nueva Colombia
H00619,2264780,2,0,6,1,0,0,1,0,3,39,26,1,1,El Porvenir
H00620,2006345,1,0,4,4,0,0,0,0,3,27,33,0,3,Las Acacias
H00621,1717071,3,1,4,2,1,0,0,1,2,23,25,0,2,Villa Diana
H00622,1395579,1,0,3,1,0,0,0,0,4,27,19,0,1,El Bosque
H00623,554234,2,1,3,3,0,0,1,1,2,36,29,1,2,Villa Sofía
H00624,1446674,1,0,7,1,0,0,1,1,5,61,29,1,2,Bellavista
H00625,2493922,3,0,4,3,0,0,1,1,1,23,19,0,4,Las Acacias
H00626,1599653,2,1,4,1,1,0,1,1,5,58,10,0,1,Nueva Colombia
H00627,2673214,3,0,3,1,0,0,1,1,2,14,30,0,4,La Unión
H00628,1531450,3,0,6,1,0,0,1,0,2,32,46,1,1,Las Flores
H00629,1360519,1,0,1,2,0,0,1,1,2,71,34,0,1,San Jorge
H00630,1594132,2,1,4,4,0,0,0,1,1,77,30,1,2,La Esperanza
H00631,1092450,2,0,4,2,0,0,1,1,2,32,25,0,4,Villa Sofía
H00632,1025726,1,1,9,3,0,0,0,1,5,119,12,1,2,La Victoria
H00633,1071385,1,1,2,1,0,0,1,0,4,82,47,0,3,La Unión
H00634,1368757,2,1,2,2,1,0,0,1,3,92,31,1,2,Altos del Sol
H00635,1492864,2,0,5,1,0,0,1,1,1,26,13,0,5,Centro
H00636,1527580,2,1,6,2,0,0,1,0,5,49,11,1,2,Villa Diana
H00637,2744003,3,1,3,2,1,0,0,1,1,37,5,0,5,Las Acacias
H00638,1153043,1,0,6,0,1,1,1,1,4,48,10,0,3,La Primavera
H00639,1656811,2,1,4,4,0,0,1,1,4,28,44,0,2,El Bosque
H00640,3476758,3,0,3,2,0,0,1,1,3,52,39,0,4,El Porvenir
H00641,1566075,1,0,4,4,0,0,0,0,4,83,44,0,3,Nueva Colombia
H00642,1678517,1,0,6,3,0,0,0,0,4,22,33,0,4,San Luis
H00643,907549,2,1,6,2,0,1,0,1,4,43,20,0,3,Centro
H00644,846556,2,0,5,2,1,0,0,0,3,58,20,0,3,La Aurora
H00645,3019596,3,0,3,0,1,0,0,1,2,81,28,0,4,Centro
H00646,873321,2,0,5,3,0,0,1,0,4,22,56,1,3,Manablanca
H00647,3047260,3,0,4,2,0,0,1,1,2,15,21,0,4,Buenos Aires
H00648,1091837,2,1,6,2,1,0,0,1,3,89,51,0,2,San Luis
H00649,1458536,2,0,3,3,0,0,0,1,3,20,14,0,1,Villa Diana
H00650,2803619,2,1,3,0,0,0,1,1,1,19,11,0,2,La Primavera
H00651,640886,1,0,4,3,1,0,0,0,5,127,77,0,3,La Aurora
H00652,1891199,2,0,4,1,0,0,1,1,2,35,3,0,4,El Porvenir
H00653,760858,1,1,5,3,0,1,0,1,4,68,58,0,1,Las Acacias
H00654,2089356,3,1,7,2,1,0,0,1,3,40,37,0,3,Bellavista
H00655,2783537,3,0,2,1,1,0,1,1,1,24,26,0,3,La Esperanza
H00656,1843336,1,1,3,1,0,0,0,1,3,48,29,0,1,La Aurora
H00657,1082373,2,0,6,3,0,0,0,1,4,38,14,0,1,El Porvenir
H00658,3034504,3,0,3,2,0,0,1,1,1,25,14,0,4,San Jorge
H00659,1487633,2,0,7,3,0,0,1,1,3,21,38,0,2,El Progreso
H00660,1403897,1,1,6,4,0,0,1,1,2,15,29,0,3,Villa Sofía
H00661,546208,1,1,5,3,0,0,0,1,2,47,38,0,2,Villa Diana
H00662,3214450,2,1,3,1,0,1,1,1,2,7,16,0,3,El Carmen
H00663,3753578,3,0,5,3,1,0,1,1,1,30,10,0,3,San Jorge
H00664,492162,1,1,4,2,0,0,0,1,5,83,91,0,2,Nueva Colombia
H00665,1947684,2,0,6,2,1,0,1,1,4,10,33,0,2,San Jorge
H00666,1909385,2,0,4,2,0,1,1,0,4,65,11,1,1,Buenos Aires
H00667,1589313,2,0,1,3,0,0,0,1,4,130,54,1,1,La Victoria
H00668,3089478,3,0,4,3,0,0,1,1,2,13,21,1,2,La Victoria
H00669,1968456,3,1,5,2,0,0,1,1,4,5,19,0,2,Villa Diana
H00670,1745302,1,1,5,3,0,0,0,0,5,59,37,0,1,Bellavista
H00671,2109044,3,0,5,2,0,0,0,1,5,47,27,0,2,San Carlos
H00672,1242066,2,0,2,4,0,0,0,1,2,42,48,1,1,Altos del Sol
H00673,3080452,3,1,4,1,0,0,1,0,2,53,22,0,3,Santa Ana
H00674,1722844,2,0,5,2,0,0,0,0,2,39,16,0,3,La Unión
H00675,1883634,2,0,3,3,0,0,1,1,4,53,10,0,2,El Bosque
H00676,2304183,3,0,5,0,0,1,1,1,2,23,8,0,3,La Esperanza
H00677,2823825,3,0,5,1,0,0,1,1,2,25,31,0,3,Villa Diana
H00678,1210694,1,1,2,2,0,0,1,1,2,39,30,1,1,Las Flores
H00679,1904583,3,0,5,4,1,0,1,1,3,48,38,0,2,La Victoria
